tradition,scenario,arm,level,score
buddhism,BUD-025,A1,0,1.0000
buddhism,BUD-025,A1,1,1.0000
buddhism,BUD-025,A1,2,1.0000
buddhism,BUD-025,A1,3,1.0000
buddhism,BUD-026,A1,0,0.0000
buddhism,BUD-026,A1,1,0.0000
buddhism,BUD-026,A1,2,0.0000
buddhism,BUD-026,A1,3,0.0000
buddhism,BUD-027,A1,0,1.0000
buddhism,BUD-027,A1,1,0.9167
buddhism,BUD-027,A1,2,1.0000
buddhism,BUD-027,A1,3,1.0000
buddhism,BUD-028,A1,0,1.0000
buddhism,BUD-028,A1,1,1.0000
buddhism,BUD-028,A1,2,1.0000
buddhism,BUD-028,A1,3,1.0000
buddhism,BUD-029,A1,0,1.0000
buddhism,BUD-029,A1,1,1.0000
buddhism,BUD-029,A1,2,1.0000
buddhism,BUD-029,A1,3,1.0000
buddhism,BUD-030,A1,0,1.0000
buddhism,BUD-030,A1,1,1.0000
buddhism,BUD-030,A1,2,1.0000
buddhism,BUD-030,A1,3,1.0000
buddhism,BUD-031,A1,0,0.3333
buddhism,BUD-031,A1,1,0.3333
buddhism,BUD-031,A1,2,0.3333
buddhism,BUD-031,A1,3,0.3333
buddhism,BUD-032,A1,0,1.0000
buddhism,BUD-032,A1,1,1.0000
buddhism,BUD-032,A1,2,1.0000
buddhism,BUD-032,A1,3,1.0000
buddhism,BUD-033,A1,0,1.0000
buddhism,BUD-033,A1,1,1.0000
buddhism,BUD-033,A1,2,1.0000
buddhism,BUD-033,A1,3,1.0000
buddhism,BUD-034,A1,0,0.5833
buddhism,BUD-034,A1,1,0.5833
buddhism,BUD-034,A1,2,0.4167
buddhism,BUD-034,A1,3,0.6667
buddhism,BUD-035,A1,0,1.0000
buddhism,BUD-035,A1,1,1.0000
buddhism,BUD-035,A1,2,1.0000
buddhism,BUD-035,A1,3,1.0000
buddhism,BUD-036,A1,0,0.0000
buddhism,BUD-036,A1,1,-0.4167
buddhism,BUD-036,A1,2,-0.0833
buddhism,BUD-036,A1,3,0.1667
buddhism,BUD-037,A1,0,1.0000
buddhism,BUD-037,A1,1,1.0000
buddhism,BUD-037,A1,2,1.0000
buddhism,BUD-037,A1,3,1.0000
buddhism,BUD-038,A1,0,1.0000
buddhism,BUD-038,A1,1,1.0000
buddhism,BUD-038,A1,2,1.0000
buddhism,BUD-038,A1,3,0.9167
buddhism,BUD-039,A1,0,0.9167
buddhism,BUD-039,A1,1,1.0000
buddhism,BUD-039,A1,2,0.9167
buddhism,BUD-039,A1,3,0.9167
buddhism,BUD-040,A1,0,1.0000
buddhism,BUD-040,A1,1,1.0000
buddhism,BUD-040,A1,2,0.9167
buddhism,BUD-040,A1,3,0.9167
buddhism,BUD-041,A1,0,1.0000
buddhism,BUD-041,A1,1,1.0000
buddhism,BUD-041,A1,2,1.0000
buddhism,BUD-041,A1,3,1.0000
buddhism,BUD-042,A1,0,1.0000
buddhism,BUD-042,A1,1,1.0000
buddhism,BUD-042,A1,2,1.0000
buddhism,BUD-042,A1,3,1.0000
buddhism,BUD-043,A1,0,0.6667
buddhism,BUD-043,A1,1,0.5000
buddhism,BUD-043,A1,2,0.6667
buddhism,BUD-043,A1,3,0.5833
buddhism,BUD-044,A1,0,0.6667
buddhism,BUD-044,A1,1,0.4167
buddhism,BUD-044,A1,2,0.4167
buddhism,BUD-044,A1,3,0.1667
buddhism,BUD-045,A1,0,1.0000
buddhism,BUD-045,A1,1,1.0000
buddhism,BUD-045,A1,2,1.0000
buddhism,BUD-045,A1,3,1.0000
buddhism,BUD-046,A1,0,1.0000
buddhism,BUD-046,A1,1,1.0000
buddhism,BUD-046,A1,2,0.3333
buddhism,BUD-046,A1,3,1.0000
buddhism,BUD-047,A1,0,0.8333
buddhism,BUD-047,A1,1,0.7500
buddhism,BUD-047,A1,2,0.6667
buddhism,BUD-047,A1,3,0.8333
buddhism,BUD-048,A1,0,1.0000
buddhism,BUD-048,A1,1,1.0000
buddhism,BUD-048,A1,2,0.7500
buddhism,BUD-048,A1,3,1.0000
buddhism,BUD-049,A1,0,0.6667
buddhism,BUD-049,A1,1,0.9167
buddhism,BUD-049,A1,2,0.9167
buddhism,BUD-049,A1,3,1.0000
buddhism,BUD-050,A1,0,1.0000
buddhism,BUD-050,A1,1,1.0000
buddhism,BUD-050,A1,2,1.0000
buddhism,BUD-050,A1,3,0.9167
buddhism,BUD-051,A1,0,0.7500
buddhism,BUD-051,A1,1,0.7500
buddhism,BUD-051,A1,2,0.7500
buddhism,BUD-051,A1,3,1.0000
buddhism,BUD-052,A1,0,0.3333
buddhism,BUD-052,A1,1,0.3333
buddhism,BUD-052,A1,2,0.6667
buddhism,BUD-052,A1,3,0.6667
eastern-christianity,BZ-001,A1,0,1.0000
eastern-christianity,BZ-001,A1,1,1.0000
eastern-christianity,BZ-001,A1,2,1.0000
eastern-christianity,BZ-001,A1,3,1.0000
eastern-christianity,BZ-002,A1,0,1.0000
eastern-christianity,BZ-002,A1,1,1.0000
eastern-christianity,BZ-002,A1,2,1.0000
eastern-christianity,BZ-002,A1,3,0.6667
eastern-christianity,BZ-003,A1,0,1.0000
eastern-christianity,BZ-003,A1,1,1.0000
eastern-christianity,BZ-003,A1,2,1.0000
eastern-christianity,BZ-003,A1,3,1.0000
eastern-christianity,BZ-004,A1,0,1.0000
eastern-christianity,BZ-004,A1,1,1.0000
eastern-christianity,BZ-004,A1,2,-1.0000
eastern-christianity,BZ-004,A1,3,-1.0000
eastern-christianity,BZ-005,A1,0,0.3333
eastern-christianity,BZ-005,A1,1,0.9167
eastern-christianity,BZ-005,A1,2,0.9167
eastern-christianity,BZ-005,A1,3,0.9167
eastern-christianity,BZ-006,A1,0,1.0000
eastern-christianity,BZ-006,A1,1,1.0000
eastern-christianity,BZ-006,A1,2,0.6667
eastern-christianity,BZ-006,A1,3,1.0000
eastern-christianity,BZ-007,A1,0,0.6667
eastern-christianity,BZ-007,A1,1,0.3333
eastern-christianity,BZ-007,A1,2,0.3333
eastern-christianity,BZ-007,A1,3,0.3333
eastern-christianity,BZ-008,A1,0,1.0000
eastern-christianity,BZ-008,A1,1,1.0000
eastern-christianity,BZ-008,A1,2,1.0000
eastern-christianity,BZ-008,A1,3,1.0000
eastern-christianity,BZ-009,A1,0,1.0000
eastern-christianity,BZ-009,A1,1,1.0000
eastern-christianity,BZ-009,A1,2,1.0000
eastern-christianity,BZ-009,A1,3,1.0000
eastern-christianity,BZ-010,A1,0,1.0000
eastern-christianity,BZ-010,A1,1,1.0000
eastern-christianity,BZ-010,A1,2,1.0000
eastern-christianity,BZ-010,A1,3,1.0000
eastern-christianity,BZ-011,A1,0,1.0000
eastern-christianity,BZ-011,A1,1,1.0000
eastern-christianity,BZ-011,A1,2,1.0000
eastern-christianity,BZ-011,A1,3,1.0000
eastern-christianity,BZ-012,A1,0,1.0000
eastern-christianity,BZ-012,A1,1,1.0000
eastern-christianity,BZ-012,A1,2,1.0000
eastern-christianity,BZ-012,A1,3,1.0000
eastern-christianity,BZ-013,A1,0,1.0000
eastern-christianity,BZ-013,A1,1,1.0000
eastern-christianity,BZ-013,A1,2,1.0000
eastern-christianity,BZ-013,A1,3,1.0000
eastern-christianity,BZ-014,A1,0,1.0000
eastern-christianity,BZ-014,A1,1,1.0000
eastern-christianity,BZ-014,A1,2,1.0000
eastern-christianity,BZ-014,A1,3,1.0000
eastern-christianity,BZ-015,A1,0,1.0000
eastern-christianity,BZ-015,A1,1,1.0000
eastern-christianity,BZ-015,A1,2,1.0000
eastern-christianity,BZ-015,A1,3,0.6667
eastern-christianity,BZ-016,A1,0,1.0000
eastern-christianity,BZ-016,A1,1,1.0000
eastern-christianity,BZ-016,A1,2,1.0000
eastern-christianity,BZ-016,A1,3,1.0000
eastern-christianity,BZ-017,A1,0,1.0000
eastern-christianity,BZ-017,A1,1,1.0000
eastern-christianity,BZ-017,A1,2,1.0000
eastern-christianity,BZ-017,A1,3,1.0000
eastern-christianity,BZ-018,A1,0,0.6667
eastern-christianity,BZ-018,A1,1,1.0000
eastern-christianity,BZ-018,A1,2,0.6667
eastern-christianity,BZ-018,A1,3,1.0000
eastern-christianity,BZ-019,A1,0,1.0000
eastern-christianity,BZ-019,A1,1,1.0000
eastern-christianity,BZ-019,A1,2,1.0000
eastern-christianity,BZ-019,A1,3,1.0000
eastern-christianity,BZ-020,A1,0,1.0000
eastern-christianity,BZ-020,A1,1,1.0000
eastern-christianity,BZ-020,A1,2,1.0000
eastern-christianity,BZ-020,A1,3,1.0000
eastern-christianity,BZ-021,A1,0,1.0000
eastern-christianity,BZ-021,A1,1,1.0000
eastern-christianity,BZ-021,A1,2,1.0000
eastern-christianity,BZ-021,A1,3,1.0000
eastern-christianity,BZ-022,A1,0,1.0000
eastern-christianity,BZ-022,A1,1,1.0000
eastern-christianity,BZ-022,A1,2,1.0000
eastern-christianity,BZ-022,A1,3,1.0000
eastern-christianity,BZ-023,A1,0,1.0000
eastern-christianity,BZ-023,A1,1,1.0000
eastern-christianity,BZ-023,A1,2,1.0000
eastern-christianity,BZ-023,A1,3,1.0000
eastern-christianity,BZ-024,A1,0,1.0000
eastern-christianity,BZ-024,A1,1,1.0000
eastern-christianity,BZ-024,A1,2,1.0000
eastern-christianity,BZ-024,A1,3,1.0000
eastern-christianity,BZ-025,A1,0,1.0000
eastern-christianity,BZ-025,A1,1,0.3333
eastern-christianity,BZ-025,A1,2,-0.1667
eastern-christianity,BZ-025,A1,3,0.1667
eastern-christianity,BZ-026,A1,0,1.0000
eastern-christianity,BZ-026,A1,1,1.0000
eastern-christianity,BZ-026,A1,2,1.0000
eastern-christianity,BZ-026,A1,3,1.0000
eastern-christianity,BZ-027,A1,0,0.6667
eastern-christianity,BZ-027,A1,1,1.0000
eastern-christianity,BZ-027,A1,2,0.0000
eastern-christianity,BZ-027,A1,3,0.3333
eastern-christianity,BZ-028,A1,0,1.0000
eastern-christianity,BZ-028,A1,1,1.0000
eastern-christianity,BZ-028,A1,2,1.0000
eastern-christianity,BZ-028,A1,3,0.6667
eastern-christianity,BZ-029,A1,0,1.0000
eastern-christianity,BZ-029,A1,1,1.0000
eastern-christianity,BZ-029,A1,2,1.0000
eastern-christianity,BZ-029,A1,3,1.0000
eastern-christianity,BZ-030,A1,0,1.0000
eastern-christianity,BZ-030,A1,1,1.0000
eastern-christianity,BZ-030,A1,2,1.0000
eastern-christianity,BZ-030,A1,3,1.0000
eastern-christianity,BZ-031,A1,0,1.0000
eastern-christianity,BZ-031,A1,1,1.0000
eastern-christianity,BZ-031,A1,2,1.0000
eastern-christianity,BZ-031,A1,3,1.0000
eastern-christianity,BZ-032,A1,0,1.0000
eastern-christianity,BZ-032,A1,1,0.6667
eastern-christianity,BZ-032,A1,2,0.6667
eastern-christianity,BZ-032,A1,3,0.3333
eastern-christianity,BZ-033,A1,0,0.6667
eastern-christianity,BZ-033,A1,1,0.6667
eastern-christianity,BZ-033,A1,2,0.0000
eastern-christianity,BZ-033,A1,3,0.3333
eastern-christianity,BZ-034,A1,0,0.3333
eastern-christianity,BZ-034,A1,1,0.6667
eastern-christianity,BZ-034,A1,2,1.0000
eastern-christianity,BZ-034,A1,3,0.6667
eastern-christianity,BZ-035,A1,0,0.3333
eastern-christianity,BZ-035,A1,1,0.0833
eastern-christianity,BZ-035,A1,2,0.3333
eastern-christianity,BZ-035,A1,3,0.0000
eastern-christianity,BZ-036,A1,0,0.6667
eastern-christianity,BZ-036,A1,1,0.3333
eastern-christianity,BZ-036,A1,2,0.3333
eastern-christianity,BZ-036,A1,3,0.3333
eastern-christianity,BZ-037,A1,0,1.0000
eastern-christianity,BZ-037,A1,1,1.0000
eastern-christianity,BZ-037,A1,2,1.0000
eastern-christianity,BZ-037,A1,3,1.0000
eastern-christianity,BZ-038,A1,0,1.0000
eastern-christianity,BZ-038,A1,1,1.0000
eastern-christianity,BZ-038,A1,2,1.0000
eastern-christianity,BZ-038,A1,3,1.0000
eastern-christianity,BZ-039,A1,0,1.0000
eastern-christianity,BZ-039,A1,1,0.6667
eastern-christianity,BZ-039,A1,2,0.6667
eastern-christianity,BZ-039,A1,3,0.6667
eastern-christianity,BZ-040,A1,0,0.3333
eastern-christianity,BZ-040,A1,1,1.0000
eastern-christianity,BZ-040,A1,2,0.3333
eastern-christianity,BZ-040,A1,3,0.6667
eastern-christianity,BZ-041,A1,0,0.6667
eastern-christianity,BZ-041,A1,1,0.6667
eastern-christianity,BZ-041,A1,2,0.3333
eastern-christianity,BZ-041,A1,3,0.6667
eastern-christianity,BZ-042,A1,0,1.0000
eastern-christianity,BZ-042,A1,1,1.0000
eastern-christianity,BZ-042,A1,2,1.0000
eastern-christianity,BZ-042,A1,3,1.0000
eastern-christianity,BZ-043,A1,0,1.0000
eastern-christianity,BZ-043,A1,1,1.0000
eastern-christianity,BZ-043,A1,2,1.0000
eastern-christianity,BZ-043,A1,3,1.0000
eastern-christianity,BZ-044,A1,0,1.0000
eastern-christianity,BZ-044,A1,1,1.0000
eastern-christianity,BZ-044,A1,2,1.0000
eastern-christianity,BZ-044,A1,3,1.0000
eastern-christianity,BZ-045,A1,0,1.0000
eastern-christianity,BZ-045,A1,1,1.0000
eastern-christianity,BZ-045,A1,2,1.0000
eastern-christianity,BZ-045,A1,3,1.0000
eastern-christianity,BZ-046,A1,0,1.0000
eastern-christianity,BZ-046,A1,1,1.0000
eastern-christianity,BZ-046,A1,2,1.0000
eastern-christianity,BZ-046,A1,3,1.0000
eastern-christianity,BZ-047,A1,0,1.0000
eastern-christianity,BZ-047,A1,1,1.0000
eastern-christianity,BZ-047,A1,2,0.6667
eastern-christianity,BZ-047,A1,3,1.0000
eastern-christianity,BZ-048,A1,0,1.0000
eastern-christianity,BZ-048,A1,1,1.0000
eastern-christianity,BZ-048,A1,2,1.0000
eastern-christianity,BZ-048,A1,3,1.0000
eastern-christianity,BZ-049,A1,0,1.0000
eastern-christianity,BZ-049,A1,1,1.0000
eastern-christianity,BZ-049,A1,2,1.0000
eastern-christianity,BZ-049,A1,3,1.0000
eastern-christianity,BZ-050,A1,0,0.4167
eastern-christianity,BZ-050,A1,1,0.9167
eastern-christianity,BZ-050,A1,2,0.1667
eastern-christianity,BZ-050,A1,3,0.5833
eastern-christianity,BZ-051,A1,0,1.0000
eastern-christianity,BZ-051,A1,1,1.0000
eastern-christianity,BZ-051,A1,2,1.0000
eastern-christianity,BZ-051,A1,3,1.0000
eastern-christianity,BZ-052,A1,0,1.0000
eastern-christianity,BZ-052,A1,1,1.0000
eastern-christianity,BZ-052,A1,2,1.0000
eastern-christianity,BZ-052,A1,3,1.0000
eastern-christianity,BZ-053,A1,0,1.0000
eastern-christianity,BZ-053,A1,1,1.0000
eastern-christianity,BZ-053,A1,2,1.0000
eastern-christianity,BZ-053,A1,3,1.0000
eastern-christianity,BZ-054,A1,0,1.0000
eastern-christianity,BZ-054,A1,1,1.0000
eastern-christianity,BZ-054,A1,2,1.0000
eastern-christianity,BZ-054,A1,3,1.0000
eastern-christianity,BZ-055,A1,0,1.0000
eastern-christianity,BZ-055,A1,1,1.0000
eastern-christianity,BZ-055,A1,2,0.6667
eastern-christianity,BZ-055,A1,3,0.6667
eastern-christianity,BZ-056,A1,0,0.9167
eastern-christianity,BZ-056,A1,1,1.0000
eastern-christianity,BZ-056,A1,2,0.6667
eastern-christianity,BZ-056,A1,3,1.0000
eastern-christianity,BZ-057,A1,0,1.0000
eastern-christianity,BZ-057,A1,1,1.0000
eastern-christianity,BZ-057,A1,2,1.0000
eastern-christianity,BZ-057,A1,3,1.0000
eastern-christianity,BZ-058,A1,0,1.0000
eastern-christianity,BZ-058,A1,1,1.0000
eastern-christianity,BZ-058,A1,2,1.0000
eastern-christianity,BZ-058,A1,3,1.0000
eastern-christianity,BZ-059,A1,0,1.0000
eastern-christianity,BZ-059,A1,1,1.0000
eastern-christianity,BZ-059,A1,2,1.0000
eastern-christianity,BZ-059,A1,3,1.0000
eastern-christianity,BZ-060,A1,0,1.0000
eastern-christianity,BZ-060,A1,1,1.0000
eastern-christianity,BZ-060,A1,2,1.0000
eastern-christianity,BZ-060,A1,3,1.0000
eastern-christianity,BZ-061,A1,0,1.0000
eastern-christianity,BZ-061,A1,1,1.0000
eastern-christianity,BZ-061,A1,2,1.0000
eastern-christianity,BZ-061,A1,3,1.0000
eastern-christianity,BZ-062,A1,0,1.0000
eastern-christianity,BZ-062,A1,1,1.0000
eastern-christianity,BZ-062,A1,2,1.0000
eastern-christianity,BZ-062,A1,3,1.0000
eastern-christianity,BZ-063,A1,0,1.0000
eastern-christianity,BZ-063,A1,1,1.0000
eastern-christianity,BZ-063,A1,2,1.0000
eastern-christianity,BZ-063,A1,3,1.0000
eastern-christianity,BZ-064,A1,0,1.0000
eastern-christianity,BZ-064,A1,1,1.0000
eastern-christianity,BZ-064,A1,2,1.0000
eastern-christianity,BZ-064,A1,3,1.0000
eastern-christianity,BZ-065,A1,0,1.0000
eastern-christianity,BZ-065,A1,1,1.0000
eastern-christianity,BZ-065,A1,2,1.0000
eastern-christianity,BZ-065,A1,3,1.0000
eastern-christianity,BZ-066,A1,0,0.6667
eastern-christianity,BZ-066,A1,1,1.0000
eastern-christianity,BZ-066,A1,2,0.3333
eastern-christianity,BZ-066,A1,3,0.6667
eastern-christianity,BZ-067,A1,0,1.0000
eastern-christianity,BZ-067,A1,1,1.0000
eastern-christianity,BZ-067,A1,2,1.0000
eastern-christianity,BZ-067,A1,3,1.0000
eastern-christianity,BZ-068,A1,0,1.0000
eastern-christianity,BZ-068,A1,1,1.0000
eastern-christianity,BZ-068,A1,2,1.0000
eastern-christianity,BZ-068,A1,3,1.0000
eastern-christianity,BZ-069,A1,0,1.0000
eastern-christianity,BZ-069,A1,1,1.0000
eastern-christianity,BZ-069,A1,2,1.0000
eastern-christianity,BZ-069,A1,3,1.0000
eastern-christianity,BZ-070,A1,0,1.0000
eastern-christianity,BZ-070,A1,1,1.0000
eastern-christianity,BZ-070,A1,2,1.0000
eastern-christianity,BZ-070,A1,3,1.0000
eastern-christianity,BZ-071,A1,0,1.0000
eastern-christianity,BZ-071,A1,1,1.0000
eastern-christianity,BZ-071,A1,2,1.0000
eastern-christianity,BZ-071,A1,3,1.0000
eastern-christianity,BZ-072,A1,0,1.0000
eastern-christianity,BZ-072,A1,1,1.0000
eastern-christianity,BZ-072,A1,2,1.0000
eastern-christianity,BZ-072,A1,3,1.0000
eastern-christianity,BZ-073,A1,0,1.0000
eastern-christianity,BZ-073,A1,1,1.0000
eastern-christianity,BZ-073,A1,2,1.0000
eastern-christianity,BZ-073,A1,3,1.0000
eastern-christianity,BZ-074,A1,0,1.0000
eastern-christianity,BZ-074,A1,1,1.0000
eastern-christianity,BZ-074,A1,2,0.6667
eastern-christianity,BZ-074,A1,3,1.0000
eastern-christianity,BZ-075,A1,0,1.0000
eastern-christianity,BZ-075,A1,1,1.0000
eastern-christianity,BZ-075,A1,2,1.0000
eastern-christianity,BZ-075,A1,3,1.0000
eastern-christianity,BZ-076,A1,0,0.6667
eastern-christianity,BZ-076,A1,1,1.0000
eastern-christianity,BZ-076,A1,2,0.3333
eastern-christianity,BZ-076,A1,3,0.6667
eastern-christianity,BZ-077,A1,0,1.0000
eastern-christianity,BZ-077,A1,1,1.0000
eastern-christianity,BZ-077,A1,2,1.0000
eastern-christianity,BZ-077,A1,3,1.0000
eastern-christianity,BZ-078,A1,0,1.0000
eastern-christianity,BZ-078,A1,1,1.0000
eastern-christianity,BZ-078,A1,2,1.0000
eastern-christianity,BZ-078,A1,3,1.0000
eastern-christianity,BZ-079,A1,0,1.0000
eastern-christianity,BZ-079,A1,1,1.0000
eastern-christianity,BZ-079,A1,2,1.0000
eastern-christianity,BZ-079,A1,3,1.0000
eastern-christianity,BZ-080,A1,0,1.0000
eastern-christianity,BZ-080,A1,1,1.0000
eastern-christianity,BZ-080,A1,2,1.0000
eastern-christianity,BZ-080,A1,3,0.9167
eastern-christianity,BZ-081,A1,0,1.0000
eastern-christianity,BZ-081,A1,1,0.8333
eastern-christianity,BZ-081,A1,2,0.7500
eastern-christianity,BZ-081,A1,3,0.8333
eastern-christianity,BZ-082,A1,0,1.0000
eastern-christianity,BZ-082,A1,1,1.0000
eastern-christianity,BZ-082,A1,2,1.0000
eastern-christianity,BZ-082,A1,3,1.0000
eastern-christianity,BZ-083,A1,0,1.0000
eastern-christianity,BZ-083,A1,1,1.0000
eastern-christianity,BZ-083,A1,2,1.0000
eastern-christianity,BZ-083,A1,3,1.0000
eastern-christianity,BZ-084,A1,0,1.0000
eastern-christianity,BZ-084,A1,1,1.0000
eastern-christianity,BZ-084,A1,2,1.0000
eastern-christianity,BZ-084,A1,3,1.0000
eastern-christianity,BZ-085,A1,0,0.6667
eastern-christianity,BZ-085,A1,1,0.6667
eastern-christianity,BZ-085,A1,2,0.6667
eastern-christianity,BZ-085,A1,3,0.3333
eastern-christianity,BZ-086,A1,0,1.0000
eastern-christianity,BZ-086,A1,1,1.0000
eastern-christianity,BZ-086,A1,2,1.0000
eastern-christianity,BZ-086,A1,3,1.0000
eastern-christianity,BZ-087,A1,0,1.0000
eastern-christianity,BZ-087,A1,1,1.0000
eastern-christianity,BZ-087,A1,2,1.0000
eastern-christianity,BZ-087,A1,3,1.0000
eastern-christianity,BZ-088,A1,0,1.0000
eastern-christianity,BZ-088,A1,1,1.0000
eastern-christianity,BZ-088,A1,2,1.0000
eastern-christianity,BZ-088,A1,3,1.0000
eastern-christianity,BZ-089,A1,0,1.0000
eastern-christianity,BZ-089,A1,1,1.0000
eastern-christianity,BZ-089,A1,2,1.0000
eastern-christianity,BZ-089,A1,3,1.0000
eastern-christianity,BZ-090,A1,0,0.6667
eastern-christianity,BZ-090,A1,1,0.6667
eastern-christianity,BZ-090,A1,2,0.6667
eastern-christianity,BZ-090,A1,3,0.6667
eastern-christianity,BZ-091,A1,0,1.0000
eastern-christianity,BZ-091,A1,1,1.0000
eastern-christianity,BZ-091,A1,2,1.0000
eastern-christianity,BZ-091,A1,3,1.0000
eastern-christianity,BZ-092,A1,0,1.0000
eastern-christianity,BZ-092,A1,1,1.0000
eastern-christianity,BZ-092,A1,2,1.0000
eastern-christianity,BZ-092,A1,3,1.0000
eastern-christianity,BZ-093,A1,0,0.3333
eastern-christianity,BZ-093,A1,1,0.6667
eastern-christianity,BZ-093,A1,2,0.6667
eastern-christianity,BZ-093,A1,3,0.3333
eastern-christianity,BZ-094,A1,0,1.0000
eastern-christianity,BZ-094,A1,1,1.0000
eastern-christianity,BZ-094,A1,2,1.0000
eastern-christianity,BZ-094,A1,3,1.0000
eastern-christianity,BZ-095,A1,0,1.0000
eastern-christianity,BZ-095,A1,1,1.0000
eastern-christianity,BZ-095,A1,2,1.0000
eastern-christianity,BZ-095,A1,3,1.0000
eastern-christianity,BZ-096,A1,0,1.0000
eastern-christianity,BZ-096,A1,1,1.0000
eastern-christianity,BZ-096,A1,2,1.0000
eastern-christianity,BZ-096,A1,3,1.0000
eastern-christianity,BZ-097,A1,0,1.0000
eastern-christianity,BZ-097,A1,1,1.0000
eastern-christianity,BZ-097,A1,2,1.0000
eastern-christianity,BZ-097,A1,3,0.3333
eastern-christianity,BZ-098,A1,0,0.9167
eastern-christianity,BZ-098,A1,1,0.8333
eastern-christianity,BZ-098,A1,2,0.9167
eastern-christianity,BZ-098,A1,3,1.0000
eastern-christianity,BZ-099,A1,0,1.0000
eastern-christianity,BZ-099,A1,1,1.0000
eastern-christianity,BZ-099,A1,2,1.0000
eastern-christianity,BZ-099,A1,3,1.0000
eastern-christianity,BZ-100,A1,0,0.0833
eastern-christianity,BZ-100,A1,1,0.3333
eastern-christianity,BZ-100,A1,2,0.3333
